A,Shenzhen,Guangzhou,Beijing,Chengdu,Shanghai,Dongguan,Suzhou,Xian,Hangzhou,Zhengzhou,Chongqing,Changsha,Nanjing,Kunming,Tianjin,Hefei,Nanning,Wenzhou,Nanchang,Zhoukou,Fuyang,Shangqiu,Yueyang,Zhumadian,Changde,Nanyang,Yichun,Xinyang,Anqing,Jiujiang,Y
0,21.8942028,19.6357932,23.8205448,20.8452852,21.2782464,12.9506364,14.9302116,11.1733668,10.9652292,12.3805908,8.2912896,10.4538924,8.5761504,7.1823348,6.6174732,6.948504,6.0841692,2.0384784,3.432456,1.584684,1.7337564,1.37052,1.184868,1.2965184,1.0521252,1.1784204,1.140642,1.0018728,0.8283384,1.0501488,0.080622348
0,17.7825456,17.214282,23.9144724,22.6441008,19.6302852,8.9928468,12.8225268,12.4744212,10.188018,12.2843628,8.8136424,10.706418,9.5041836,7.7217948,6.4302984,7.760772,6.0784344,1.5755148,3.3535944,1.5709464,1.757052,1.3458312,1.1155968,1.2287376,0.9960084,1.097064,0.9814284,0.926802,0.8293752,0.9905328,-0.013089005
1,13.1922432,13.2808896,18.6437052,18.7029324,17.0179056,6.2539128,9.8829396,11.059254,7.5097368,9.9839304,7.62858,7.2508608,8.2345572,6.4278036,5.1361128,5.8359204,4.44609,1.2019104,2.722896,1.1491956,1.36161,1.1640024,0.993222,0.9342864,0.9469548,0.9932868,0.8447652,0.7169472,0.7365816,0.8719812,-0.112732095
1,5.6490696,6.621102,8.116686,9.8588016,7.4295144,2.8512972,4.7763756,5.1815376,3.74058,4.3567308,4.7465352,4.0994748,4.159674,2.8757592,2.5204932,3.1826196,1.852794,0.6286896,1.4418648,1.000998,0.9245016,0.935064,0.7193448,0.7591644,0.6415848,0.6517908,0.540918,0.9332496,0.5072868,0.469476,0.082212257
1,3.6039816,4.7246328,5.303232,7.3129392,4.1795352,1.9806768,3.2365008,3.5284572,2.6564112,2.4404004,4.8229668,3.1474332,2.9502792,2.7200124,2.0054952,2.7153144,1.861218,0.630504,1.1044188,1.9457172,1.2105288,1.327752,1.0761336,1.2997908,0.936846,1.181952,0.8395812,1.5390648,0.9096948,0.6934896,0.226519337
1,2.5287228,3.4173576,3.6684252,5.0433516,2.8482192,1.364526,2.0620008,2.4103008,1.8712296,1.3906728,4.500522,2.1721932,1.9354464,2.4281856,1.3991616,1.9193112,1.5559128,0.7375212,1.0069272,1.854576,1.700838,1.4755284,1.1446272,1.2311352,1.1269692,1.357398,0.9837612,1.1934216,1.0976148,0.8382852,-0.171171171
1,1.8767052,2.4631452,2.4341796,3.5118684,1.9215468,1.0508616,1.3666644,1.753326,1.2819708,1.0415628,3.8085552,1.7084196,1.2616884,1.833192,1.0397484,1.6628976,1.3826376,0.7021728,0.7739388,1.4059008,1.7710488,1.3099968,0.9808452,1.0026504,1.022058,1.0320048,0.8059176,1.060452,1.1256732,0.7473384,-0.035326087
1,1.606716,1.9886796,1.8136224,2.6868672,1.4327604,0.9285516,1.0740924,1.395144,0.947214,0.8219556,3.5039304,1.4005224,0.9239832,1.258092,0.8480376,1.3135932,1.294218,0.6420384,0.65853,1.2420864,1.4077476,1.1120976,0.8811504,0.8964756,1.0028448,0.9162072,0.7017192,0.8670888,0.9646128,0.6670836,-0.028169014
1,1.5246468,1.8080172,1.60623,2.3397336,1.2159396,0.9507456,0.9217152,1.2208644,0.8346888,0.7536564,3.0939732,1.226988,0.7799976,1.0067004,0.840942,1.1337408,1.2034008,0.68445,0.590328,1.2821976,1.3061412,1.03923,0.7925364,0.8559756,0.9241452,0.8389332,0.6798816,0.7768548,0.8647236,0.625158,-0.194202899
1,1.3768056,1.6380144,1.4281272,1.9034676,1.053162,0.8933328,0.8269128,1.0599336,0.7116012,0.655938,2.7997164,1.0407204,0.66825,0.8554572,0.7331472,0.9724212,1.0268208,0.6709392,0.5352156,1.170288,1.2543012,0.9051912,0.5975208,0.7998912,0.7543692,0.7330824,0.6059124,0.6504624,0.7151328,0.5400108,-0.086330935
1,1.3243176,1.6049016,1.2402396,1.6785144,0.9417708,0.8538696,0.7139988,0.9793224,0.6161508,0.5949612,1.7825508,0.9329256,0.6204924,0.7911108,0.6667272,0.9032148,0.8730828,0.5505084,0.4312764,0.8612244,0.9581004,0.7120548,0.4635468,0.5572152,0.588222,0.4733316,0.4907304,0.4260276,0.6108048,0.4243752,-0.12992126
1,1.4254704,1.7877024,1.3714596,1.939302,0.9950364,0.940572,0.7996968,1.1279736,0.6445332,0.7323696,2.2318092,1.0635948,0.6814044,0.8630064,0.7266996,1.0847844,0.9667512,0.555336,0.5025888,1.0969992,1.1155644,0.8080236,0.4873284,0.6796548,0.6360768,0.5057316,0.551934,0.427194,0.7206732,0.465912,-0.119909502
1,1.5128856,1.6142004,1.2228732,1.9028196,0.9313704,0.9353232,0.742122,1.076328,0.5111748,0.5671944,1.638792,0.8582112,0.6184512,0.7073244,0.6883704,0.8536428,0.7745868,0.4384692,0.3885084,0.8513748,0.881604,0.6592104,0.398034,0.5085828,0.4810104,0.3342708,0.4421304,0.3149928,0.5748084,0.3237084,-0.01285347
1,1.2312972,1.3365648,1.0646316,1.6915716,0.7718976,0.7557948,0.5557896,0.826524,0.3776544,0.463158,1.1593692,0.7241724,0.5097492,0.5485968,0.5409828,0.6995808,0.5692032,0.2364876,0.2875176,0.6020892,0.6466068,0.4637088,0.2988252,0.3847176,0.3902256,0.2313036,0.2932524,0.2372976,0.4072356,0.2087532,-0.1875
1,1.0957032,1.3267476,0.9950688,1.5612264,0.68931,0.7581276,0.5368356,0.751842,0.3286332,0.4195152,1.0216368,0.7577712,0.48762,0.5215104,0.4882032,0.6731424,0.5448708,0.1454112,0.2774736,0.5615568,0.5835888,0.4428432,0.3170664,0.3447036,0.4325724,0.2222316,0.2637684,0.236682,0.4132944,0.2011392,-0.134615385
1,1.1120652,1.3086684,0.8485884,1.4966532,0.631476,0.7532676,0.488916,0.6580116,0.2875176,0.3668976,1.2089412,0.75978,0.4363632,0.4938408,0.4352292,0.6175116,0.541728,0.1010232,0.2777652,0.587088,0.5693328,0.4528548,0.3684852,0.305532,0.54999,0.2262492,0.2835972,0.2552472,0.4207464,0.2318868,-0.174074074
1,1.1233728,1.3417812,0.9366192,1.4487012,0.6071436,0.78003,0.4888512,0.6020568,0.2471148,0.4195476,1.3705524,0.8756424,0.4223016,0.5197932,0.4910544,0.5959332,0.566838,0.0677484,0.2611116,0.5854356,0.513216,0.5129568,0.437562,0.3077028,0.7746192,0.2724192,0.2904336,0.2977236,0.4447548,0.2562192,-0.255605381
1,1.0954116,1.4404392,1.0135044,1.4143572,0.6105456,0.8902548,0.5123412,0.5717952,0.2499336,0.4462776,1.4425128,1.1072376,0.428004,0.536382,0.4638384,0.6332904,0.621108,0.0528768,0.2765016,0.680724,0.5798304,0.6004368,0.716202,0.380214,1.1539908,0.3482028,0.350406,0.3591216,0.6051348,0.3479112,-0.289156627
1,1.086858,1.4827536,0.9475056,1.3168008,0.6260328,0.9202896,0.583686,0.5582844,0.269568,0.4488696,1.2657384,1.1825028,0.438534,0.5387796,0.523584,0.642816,0.626292,0.0463644,0.2829816,0.662256,0.5840748,0.5952204,1.1234052,0.3663144,1.1953332,0.3349836,0.4001076,0.3950856,0.6064632,0.4104108,-0.271186441
1,1.4377824,1.7384544,1.0333008,1.2217068,0.695304,1.0849464,0.659016,0.56457,0.2929284,0.4737204,1.1472516,1.2101724,0.4679208,0.5644728,0.6417144,0.5961276,0.5567292,0.05589,0.2829168,0.6542532,0.5378076,0.5510268,0.8726292,0.3749328,0.788778,0.3111372,0.3512484,0.4133916,0.4508136,0.3723408,-0.360465116
1,1.0158372,1.3969584,0.9017244,0.9529488,0.6204276,0.8577576,0.5267916,0.43659,0.2489616,0.4073004,0.7874172,0.9415116,0.3665736,0.538164,0.4481568,0.4852872,0.4561272,0.0533304,0.221616,0.5046624,0.421524,0.4376268,0.5228388,0.3014172,0.5021028,0.274428,0.232308,0.3087396,0.2955204,0.2258604,-0.090909091
1,0.9955872,1.3302792,0.8862696,0.8345268,0.6566832,0.8795304,0.525366,0.43254,0.2869668,0.4338036,0.8293752,0.9505836,0.3527712,0.5430888,0.471906,0.470286,0.4429728,0.07614,0.237816,0.6418116,0.4512672,0.5187888,0.4551876,0.3224124,0.4494852,0.3484944,0.23652,0.29565,0.2868696,0.214488,-0.873563218
1,0.9578412,1.3886316,0.8753508,0.8306712,0.6744384,0.9406368,0.5319756,0.439182,0.3160944,0.431568,0.8854272,1.0203732,0.3535812,0.5735772,0.4508136,0.4770576,0.4421952,0.0861516,0.2504196,0.6584328,0.4684716,0.5315868,0.4451436,0.3402972,0.448254,0.3607416,0.2493504,0.2964276,0.3028752,0.2135808,-0.424242424
1,1.0252656,1.4092056,0.8263944,0.8166096,0.6454728,1.057374,0.5443524,0.4096332,0.3483,0.3897072,0.77436,0.991116,0.3454812,0.61074,0.359802,0.4285872,0.4561596,0.0975564,0.26487,0.5831352,0.431244,0.4585896,0.3842316,0.3159972,0.4002048,0.3287628,0.2800008,0.2472444,0.280584,0.2139048,-0.052631579
1,0.8472924,1.1997072,0.8073108,0.7917588,0.6142392,0.8967996,0.5207004,0.434322,0.364986,0.4048056,0.8893476,0.8134668,0.316872,0.5306796,0.5172984,0.3969648,0.4481244,0.1065636,0.2638656,0.6014088,0.4141044,0.5163264,0.4216536,0.2947752,0.4324752,0.31995,0.3189132,0.210438,0.269082,0.2392092,0
1,1.4190552,1.7412408,0.9084312,0.9552816,0.7798032,1.2250116,0.7220664,0.5288976,0.5283792,0.4871016,0.8586324,1.0853028,0.40014,0.6106752,0.6372432,0.5392656,0.5329476,0.1642032,0.3472308,0.7324668,0.5148036,0.6636168,0.5380992,0.3228012,0.48276,0.3546828,0.3980664,0.2406672,0.3356316,0.288036,-0.444444444
1,1.15911,1.6443324,0.9125136,1.0060848,0.81486,1.2254004,0.7349292,0.5055696,0.7160724,0.5034636,1.3142088,1.0500516,0.4073976,0.636336,0.5415336,0.5810616,0.5792796,0.2861892,0.410832,1.0020996,0.8103564,0.8817336,0.5824872,0.4362984,0.6075648,0.509652,0.5519016,0.4113504,0.4189968,0.4595292,-0.64516129
1,1.3042944,1.7961264,0.9145224,1.095768,0.906228,1.3434336,0.8566884,0.5311656,0.80838,0.5334012,1.419768,1.1465064,0.4606308,0.6820848,0.5729616,0.6446952,0.624996,0.3063744,0.4366224,1.1495844,0.9889776,0.997596,0.6246072,0.5227416,0.6001128,0.5976504,0.6592752,0.439182,0.4392792,0.510786,-0.363636364
